page,time_in_video,mode,font_size,color,send_time,danmu_pool,user_hash,danmu_id,content
1,0.92,5,25,15138834,1756474407,0,f73f3dc8,1924205808049513984,林则徐:666模仿不艾特
1,60.617,5,25,16777215,1756463214,0,b1fac378,1924124316245585408,你呐喊，孩子彷徨了（
1,0.938,5,25,11890,1756462786,0,6b9575f0,1924124313561230848,林则徐：我不背这锅
1,0.85,5,25,16707842,1756494542,0,65befe71,1924374713157583872,林则徐大人：粉丝行为请勿上升至偶像
1,481.887,5,25,41194,1756515390,0,8e642e22,1924549596592323584,儿子：我也彻底失望了
1,543.603,5,25,15772458,1756515496,0,abf1f947,1924550485575758080,家长刷不到是最讽刺的
1,240.909,1,25,16777215,1756480281,0,d17a551e,1924255084326917632,像抓壮丁
1,213.25,5,25,16646914,1756517446,0,488be887,1924566850743057664,马云 参团0% 承伤100%
1,120.478,5,25,15138834,1756520209,0,33631edf,1924590022796316672,事实上接广更多原因是为了防止视频下架
1,44.503,5,25,16777215,1756514301,0,b647311b,1924540468009089280,这有点不尊重历史人物了吧
1,480.183,1,25,16777215,1756510200,0,c97559f4,1924506061009321472,父亲对儿子很失望，儿子对父亲很绝望
1,330.601,5,25,16777215,1756512887,0,d3b27b62,1924528603295478528,儿子是后期英雄
1,293.629,5,25,16777215,1756510504,0,613127fb,1924508609854229760,送去贵一点的时候，纯纯就是为了让他自尊更差，愧疚式教育罢了
1,190.573,1,25,16777215,1756485003,0,79fdd483,1924294692129033216,孩子cos晴天娃娃就已经算不错的了，还有可能去天台体验自由落体运动
1,38.556,5,25,15138834,1756528959,0,40bd4b8d,1924663425464976896,抛弃？那就是不履行抚养义务咯
1,429.521,1,25,16777215,1756464045,0,bb4ad0e5,1924124383958429184,刷到他们也不会看的，就是一种自信，不自信他们的心理就要崩溃了
1,382.03,1,25,16777215,1756509661,0,b6a8fb05,1924501541789245696,连砸五个？？？这也不缺钱啊，真绝了就这样做还想教育好孩子？？
1,370.26,5,25,15138834,1756508042,0,fb64d80d,1924487964550072320,中国:别招黑我！我受不了！
1,35.518,5,25,16777215,1756520790,0,523b1c82,1924594900109250816,*儿子再也不相信你了
1,306.135,5,25,16707842,1756518234,0,d31f3e2f,1924573459892379904,有这1万多，够你一个暑假陪他了
1,14.695,5,25,16777215,1756508465,0,6fbb2898,1924491512570893568,有这钱干嘛不给带出去旅游
1,503.232,5,25,16707842,1756463011,0,f5aa48fe,1924124360537435648,不愿面对客观现实就是宗教化的开始
1,220.437,5,25,15138834,1756484234,0,c056692f,1924288248553946368,不知道马老板看到这些视频会作何反应
1,335.25,1,25,16777215,1756463384,0,b13c6a9c,1924124359195258368,哈哈哈，这个好，打不过了
1,55.969,5,25,15138834,1756464090,0,8fb360e1,1924124372432481792,马云你听我说～今天我来说说你。～
1,7.389,5,25,15138834,1756511512,0,6337dd24,1924517067894716672,这人好像还抽烟
1,63.06,5,25,16777215,1756485003,0,770c3ac9,1924294694679302656,不想承认自己教育的失败，从而归结于游戏。
1,27.737,5,25,16777215,1756515737,0,50ab33aa,1924552508295239936,看风水破案了
1,319.867,1,25,16777215,1756521199,0,3e3b5de8,1924598333365313024,不是长大了就好多了，而是发现长大后他们打不过你了
1,7.042,5,25,16777215,1756524696,0,f8df97c5,1924627664887825664,那烟不是真正的鸦片？
1,212.786,5,25,15138834,1756521443,0,a7b9dd33,1924600373901804032,马化腾这招太狠了
1,333.988,5,25,16707842,1756716183,0,53691661,1926233975047810816,儿子:Ok，兄弟们装备成型直接猛攻
1,53.493,5,25,16707842,1756528206,0,60389cfa,1924657109019059968,马云，你听我说
1,8.517,5,25,15138834,1756508764,0,a80f3f8b,1924494013877690624,为何不把这个钱留给孩子，孩子会感激你一辈子的
1,15.168,5,25,16777215,1756486191,0,69d5a096,1924304662660752128,我觉得游戏没饭圈的危害大
1,31.925,5,25,15138834,1756509956,0,2344a993,1924504012602836736,爱儿TV
1,41.101,5,25,16777215,1756497580,0,36b23e61,1924400199796106240,磕嗨了？
1,57.835,5,25,16777215,1756483689,0,ebda9f05,1924283671344064256,那就玩单机游戏doge
1,12.96,5,25,16777215,1756483650,0,1af2504e,1924283341754863616,你猜为什么孩子喜欢玩游戏？
1,384.294,5,25,15138834,1756517896,0,1fa2c372,1924570624115168768,俩父母是打瓦认识的
1,57.6,5,25,16707842,1756528343,0,355fc0b8,1924658255951830528,这俩孩子真是遭罪了
1,475.632,1,25,16777215,1756515687,0,522a8b67,1924552088462186752,全程教育缺失，儿子进去后有种责任被转移的轻松感，真是行！！
1,379.861,1,25,16777215,1756513375,0,277b8a5f,1924532695636405248,手机不要，放转转上
1,522.642,5,25,16777215,1756521340,0,523b1c82,1924599508365774080,小儿子和大儿子还有妹妹是豪人
1,58.217,5,25,16777215,1756483705,0,ebda9f05,1924283808002809088,那就玩单机游戏doge
1,325.944,1,25,16777215,1756517082,0,14e04c93,1924563793539608576,自己投资的产品没有给自己带来收益，他们当然急了。
1,210.175,5,25,16707842,1756513767,0,e79d4eef,1924535981823208704,马云：？
1,173.374,5,25,15138834,1756525678,0,c197e9c0,1924635905772165632,接广视频被投诉也不会下架
1,433.972,5,25,16707842,1756517790,0,3382d161,1924569730099086336,并非希望孩子出头，只是希望自己因此有钱
1,55.732,5,25,16777215,1756514899,0,6785ee06,1924545481745666816,马云你听我说
1,2.469,5,25,16777215,1756551294,0,38ac98c,1924850787231149312,自己没能力教育好孩子，只能怪游戏的无脑家长罢了
1,225.267,5,25,15138834,1756525749,0,ed5fea19,1924636494862697472,马化腾这招太狠了
1,295.332,5,25,16777215,1756516885,0,b29efb7a,1924562140715497984,这种情况在家乖乖打游戏都是好的，起码没到社会上惹事
1,116.046,5,25,16777215,1756516844,0,60fed7d0,1924561796363276800,别怪他，他也要赚钱
1,25.971,5,25,16707842,1756519536,0,6256a45b,1924584380081344768,这下看懂了
1,59.497,5,25,16646914,1756516714,0,2babf55f,1924560708251742720,《马云你听我说》
1,229.205,5,25,16707842,1756513319,0,3ec31c5e,1924532225723280896,R星：我的错吗？
1,22.611,5,25,15138834,1756510563,0,36f255b9,1924509107743068672,因为他是来赚钱的
1,476.887,5,25,15138834,1756518031,0,1fa2c372,1924571753716782848,父母是打瓦认识的
1,29.16,5,25,16777215,1756507443,0,1e92b573,1924482936854972672,这下听懂了
1,562.125,5,25,16646914,1756473656,0,da128ffb,1924199512172142848,"某些""家长"" : 听不懂思密达"
1,15.365,1,25,16777215,1756609885,0,1c890271,1925342277996236288,哦，网络游戏啊，那没事了，我玩的单机（doge）
1,480.709,5,25,16777215,1756615895,0,e2b8240d,1925392694830598144,谁对谁失望还真不一定
1,386.282,5,25,16777215,1756553021,0,13e951ad,1924865269424427520,第一次怀疑儿子是跟父母打瓦认识的
1,459.593,5,25,41194,1756515357,0,8e642e22,1924549319902834432,王者吊图蚌埠住了
1,341.189,5,25,8700107,1756515305,0,4d488c33,1924548887721759488,被打趴在地板上不敢再打了
1,246.043,5,25,16646914,1756463200,0,9ab2e2af,1924124351142194688,没那么高
1,9.139,1,25,16777215,1756462586,0,cf7ff155,1924124296112926208,五六十万花儿子身上，去旅游或者买一些想买的东西，无干想干的事，网瘾早就戒了
1,380.905,5,25,16707842,1756535782,0,fc9eb139,1924720657221413120,别砸啊，回收旧手机，找转转啊
1,116.689,5,25,4351678,1756507066,0,3f4d27ce,1924479773569058304,大家不要感到尴尬，主播也要吃饭的...
1,253.51,1,25,16777215,1756462507,0,a9ba5d6c,1924124285375507969,生孩子前考父母证可行吗
1,32.649,5,25,8700107,1756555830,0,91cdf34b,1924888834710465280,儿子：请输入文本
1,477.417,5,25,15138834,1756462743,0,b0591ac6,1924124312219053568,不懂就问，这位家长，你是觉得这样很光荣，很值得炫耀吗？
1,217.482,5,25,15138834,1756529371,0,20056c3d,1924666883920551424,这下听懂了
1,26.259,5,25,15138834,1756463681,0,a2b12573,1924124357853081088,没有一样是从自己身上找原因的
1,551.124,5,25,16777215,1756520487,0,4d8ee8d6,1924592359190873856,家长是不刷b站的…
1,51.953,5,25,41194,1756517066,0,15a68f94,1924563659389486848,《视频同款 ，立即购买 》
1,296.146,5,25,15138834,1756515282,0,9c5ce523,1924548692200179968,感动了自己
1,222.109,1,25,16777215,1756513156,0,c82b197c,1924530858656711168,马云关键团战承伤100%。
1,434.534,5,25,16646914,1756522128,0,e5c12df0,1924606122808487680,他们的认知里，孩子就是给让自己过上好日子的工具，他们不会在乎孩子的感受
1,94.96,5,25,15138834,1756513257,0,3ec31c5e,1924531707583876096,666戒网瘾学校费用比我命还高
1,4.44,1,25,16777215,1756481850,0,2ff79e88,1924268241924993280,林则徐被黑的最惨的一次
1,7.752,1,25,16777215,1756473725,0,335326ee,1924200089527098368,有那精力多陪陪自己儿子不好吗？关心关心你儿子
1,545.367,5,25,15138834,1756524932,0,ddb8658d,1924629647132372736,家长刷到了会直接无视
1,43.046,5,25,15138834,1756530880,0,e62fcd5e,1924679543512543744,哈哈哈 他疯了 他真的疯了
1,425.247,5,25,16777215,1756518560,0,2395be07,1924576191231791872,ps：“傻子共振”算是个伪概念，b站有up纠过错的
1,116.541,5,25,16707842,1756507701,0,23b11a08,1924485101166265344,这也是产业链
1,551.036,5,25,15138834,1756505843,0,d89cbeaf,1924469517313485056,。。。。其实很多家长都不刷b站，就算刷到基本不会看。。。
1,36.607,1,25,16777215,1756482908,0,b9d91dc3,1924277118180269312,他自己有心理问题吧
1,480.272,5,25,16777215,1757597476,0,3569e6df,1933626797975520512,谁对谁失望还不一定呢
1,40.725,5,25,15138834,1756520766,0,4dd8c146,1924594697037821696,精神病
1,206.576,5,25,15138834,1756513474,0,1dc662ac,1924533530092929536,网易这招太狠了（doge）
1,338.282,5,25,16707842,1756715006,0,a1ce8205,1926224103074163456,免费的教练，直接参透武学功底
1,62.03,5,25,16777215,1756514746,0,657f67c5,1924544193800506880,我猜里面有生意
1,533.66,1,25,16777215,1756467816,0,effe8386,1924150524002325504,都是利用正规合法教育机构做包装，很多违法的事都是只有受害者大胆曝光才勉强有点用
1,481.249,1,25,16777215,1756490992,0,64fb9841,1924344930512290816,投资失败了是吧？小孩不是理财产品好吧。
1,289.374,5,25,16777215,1756530657,0,9df32a6d,1924677665580422656,典型的自己没本事却要求孩子必须达到自己达不到的目标。
1,199.342,5,25,16777215,1756526272,0,ab632d3d,1924640884822665728,游戏：已读不回
1,356.773,5,25,15138834,1756488640,0,3d193b32,1924325206152148992,怎么加入，我要刷屏
1,409.298,5,25,16707842,1756531892,0,f9b237a1,1924688027826480128,优秀的人会互相吸引（
1,168.073,1,25,16777215,1756518132,0,2b1e3800,1924572597643863296,←前面的，他要是不接广，就可能被别人投诉下架
1,536.098,5,25,16777215,1756640349,0,8ee1526d,1925597833315660288,这爸爸也是正常人
1,243.735,5,25,16777215,1756527415,0,42f24fd2,1924650470073898496,乌克兰同款宝宝巴士既视感
1,47.7,5,25,15138834,1756524623,0,95942e72,1924627053920610560,《视频同款 立即购买》
1,336.277,5,25,16707842,1756529951,0,3cb6c217,1924671742929326336,自作自受
