代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
300442,润泽科技,59.58,4.16,2.38,0.05,15.69,1.26,10.89,55.72亿,6.14亿,365.95亿,50.82
300959,线上线下,43.38,4.13,1.72,0.00,21.21,2.39,17.26,4.68亿,5227.52万,22.68亿,208.43
000519,中兵红箭,15.72,4.11,0.62,0.06,4.78,3.65,4.90,10.40亿,13.93亿,218.91亿,亏损
600088,中视传媒,20.95,4.07,0.82,-0.14,9.48,0.96,13.06,7.74亿,3.98亿,83.32亿,56.48
603518,锦泓集团,9.81,4.03,0.38,0.10,22.55,3.08,8.16,7.94亿,3.44亿,33.75亿,15.79
832662,方盛股份,20.45,4.02,0.79,0.00,22.48,1.50,10.83,1.16亿,2458.07万,5.03亿,54.59
688298,东方生物,30.29,4.02,1.17,0.00,3.81,3.38,8.89,2.37亿,2.02亿,61.06亿,亏损
600333,长春燃气,5.70,4.01,0.22,0.00,5.07,1.56,6.93,1.75亿,6.09亿,34.71亿,亏损
000338,潍柴动力,13.78,4.00,0.53,0.22,4.28,3.96,5.81,29.35亿,49.69亿,684.75亿,10.74
000906,浙商中拓,7.02,4.00,0.27,0.00,4.34,1.96,6.67,2.11亿,7.02亿,49.28亿,8.92
603629,利通电子,20.81,4.00,0.80,-0.05,15.86,2.41,10.79,8.46亿,2.55亿,53.02亿,76.98
600679,上海凤凰,19.55,3.99,0.75,-0.26,25.83,1.27,19.36,16.36亿,3.38亿,66.12亿,150.62
002335,科华数据,28.03,3.97,1.07,-0.04,16.28,3.03,6.31,18.88亿,4.01亿,112.35亿,40.76
002226,江南化工,5.59,3.90,0.21,-0.18,2.38,3.29,5.02,3.53亿,26.49亿,148.07亿,14.81
300483,首华燃气,9.88,3.89,0.37,0.10,4.95,2.15,7.15,1.25亿,2.59亿,25.61亿,亏损
002272,川润股份,10.74,3.87,0.40,0.09,27.78,1.93,8.41,11.38亿,3.80亿,40.77亿,亏损
688676,金盘科技,38.30,3.85,1.42,-0.23,10.32,2.34,11.14,18.50亿,4.57亿,175.20亿,32.54
603126,中材节能,7.58,3.84,0.28,0.00,16.85,2.67,16.85,7.42亿,6.11亿,46.28亿,128.92
600938,中国海油,28.45,3.83,1.05,0.04,2.88,2.06,3.32,23.13亿,28.42亿,808.51亿,8.69
001211,双枪科技,21.80,3.81,0.80,-0.32,16.15,3.22,8.62,2.44亿,6699.66万,14.61亿,83.17
601798,蓝科高新,7.25,3.72,0.26,-0.14,15.10,2.45,17.02,3.85亿,3.55亿,25.70亿,亏损
300425,中建环能,6.45,3.70,0.23,0.00,14.65,1.28,7.88,6.21亿,6.79亿,43.78亿,140.96
002080,中材科技,13.56,3.67,0.48,-0.07,2.53,1.78,5.20,5.73亿,16.78亿,227.55亿,28.05
001239,永达股份,16.97,3.67,0.60,-0.12,10.71,1.52,9.96,2.03亿,1.14亿,19.35亿,67.64
600000,浦发银行,9.93,3.65,0.35,-0.10,0.40,2.81,5.01,11.56亿,293.52亿,2914.67亿,6.21
