岗位名称,公司名称,公司规模,工作地区,学历要求,工作经验,薪资,联系电话,工作地点,全职/兼职,岗位描述
平面设计师,台山市台城陶艺建材店,49人及以下,广东省江门市台山市,无学历要求,1-3年,3500-5500元/月,159****2667,台山市台城环市东路2号13号铺位,全职,"岗位要求：

一、3年以上广告/家居/建材行业平面设计经验；
二、精通PS/AI/CDR/剪映，能够独立完成高精度效果图，勇于提出设计方案；
三、协助各个部门处理工作中遇到的问题需求；
工作内容及职责：
一、 负责家居建材品牌（瓷砖、卫浴、家装/定制等）的广告视觉设计，包括但不限于品牌画册、产品手册海报等。 
二、负责公司产品图片的拍摄和后期精修，包括产品前期拍照、后期图片剪辑处理、产品图片排版和优化的设计工作;
三、负责产品图片与实物的色彩、构图、细节等方面的校对、美化和处理工作;
四、负责云影公司自有商城、小红书、抖音等平面，文案制作发布；
五、对当前遇到的平面设计相关工作汇报;
相关待遇：
一、综合薪资5000元以上，试用期两个月，购买社保；
二、上班时间：08:30-12:00--14:00-18:30  包吃午餐，月休四天，节假日补假调休，有年假；；"
家装业务员,台山市台城陶艺建材店,49人及以下,广东省江门市台山市,无学历要求,无工作经验要求,3000-5000元/月,138****9205,台山市台城环市东路2号13号铺位,全职,"应聘条件：	
一、三年以上业务员或销售工作经验，具有家居建材行业经验者优先考虑；
二、外向开朗，反应敏捷，具有良好的沟通与人际交往能力；
三、勤奋，善于思考，细心，积极进取；具有团队合作精神，爱岗敬业。
工作内容及职责：
一、公司的项目产品销售及推广；
二、发展新客户，定期回访，线上线下客户开发及维护客户关系；
三、负责约客谈单，协助并解决交易过程产生的问题。
相关待遇：
一、综合薪资5000元以上，试用期两个月，购买社保；
二、上班时间：08:30-12:00--14:00-18:30  包午餐，月休四天，节假日调休，有年假；"
财务会计,博罗县杨村镇方大（惠州）新材料有限公司,100-299人,广东省惠州市博罗县,大学专科,3-5年,面议,134****8501,博罗县杨村镇塘角村连亚经济合作社陈村笏（土名）地段（厂房A（一层））,全职,"1.财务、会计等相关专业大专及以上学历，持有初级会计职称或以上资格证者优先。
2.至少三年以上制造业企业相关会计工作经验，熟悉一般纳税人全盘账务处理及税务流程。
3.熟练操作金蝶、用友等主流财务软件，精通Excel等Office办公软件。
4.熟悉国家财经法规和会计准则，了解最新税收政策。
5.具备强烈的责任心和敬业精神，工作细致严谨，有良好的学习能力、沟通能力和团队协作精神。"
饲料中控员,广东巨农生物科技有限公司,50-99人,广东省惠州市博罗县,中等专科,无工作经验要求,6000-7000元/月,136****9545,博罗县麻陂镇大马路80号,全职,"
1、学历中专及以上，接受上夜班，对事细致认真负责，有一定沟通能力，工资6-7K；
2、岗位职责：负责饲料生产全流程的实时监控，通过中控系统精准调控粉碎、混合、制粒等各工序设备运行参数，确保生产按工艺标准稳定运行。
3、依据生产计划，及时启动、停止或调整生产设备，合理安排生产顺序，保障生产任务高效完成。
4、密切关注生产设备运行状态，发现异常及时预警，并按流程通知相关人员处理，保障生产安全。
"
加油员,惠州大兴化工能源有限公司大通加油站,,广东省惠州市博罗县,无学历要求,无工作经验要求,面议,075****9336,博罗县杨村镇陈村村岭顶组广梅公路左侧,全职,"工作内容：负责加油、收银等工作
身体健康，敬业爱岗，能适应倒班工作安排
工作时间：三班倒"
手工、组胶技工,远恒幕墙（惠州）有限公司,,广东省惠州市博罗县,无学历要求,无工作经验要求,7000-9000元/月,136****5358,广东省惠州市博罗县杨村镇金杨大道763号,全职,"身体健康,熟悉门窗/草墙图纸，有相关行业工作经验;工作认真、
踏实;责任心强，执行能力强;。综合收入7000~9000元。                   工作时间及待遇:
1、工作时间:正班21.75天(按劳动法)+加班。
2、工资计算:底薪+加班费+绩效+全勤奖，购买社保。
3、公司免费提供吃、住(早中晚三餐)，宿舍3~6人间配备热水/空调、
Wi-Fi。
4、节日福利、聚餐、团建、礼品等。"
普工,远恒幕墙（惠州）有限公司,,广东省惠州市博罗县,无学历要求,无工作经验要求,5000-7000元/月,136****5358,广东省惠州市博罗县杨村镇金杨大道763号,全职,"身体健康，适应工厂工作，服从上级工作安排，吃苦耐劳,较
强责任心。综合收入5000-7000元。                     工作时间及待遇:
1、工作时间:正班21.75天(按劳动法)+加班。
2、工资计算:底薪+加班费+绩效+全勤奖，购买社保。
3、公司免费提供吃、住(早中晚三餐)，宿舍3~6人间配备热水/空调、
Wi-Fi。
4、节日福利、聚餐、团建、礼品等。"
质检员,远恒幕墙（惠州）有限公司,,广东省惠州市博罗县,无学历要求,1年以下,6000-8000元/月,136****5358,广东省惠州市博罗县杨村镇金杨大道763号,全职,"身体健康，熟悉门窗/幕墙图纸，有相关行业工作经验;工作认真、
踏实;责任心强，执行能力强;。综合收入6000~8000元。                   工作时间及待遇:
1、工作时间:正班21.75天(按劳动法)+加班。
2、工资计算:底薪+加班费+绩效+全勤奖，购买社保。
3、公司免费提供吃、住(早中晚三餐)，宿舍3~6人间配备热水/空调、
Wi-Fi。
4、节日福利、聚餐、团建、礼品等。"
CNC编程员,远恒幕墙（惠州）有限公司,,广东省惠州市博罗县,无学历要求,1-3年,7000-9000元/月,136****5358,广东省惠州市博罗县杨村镇金杨大道763号,全职,"身体健康，有2年以上的幕墙行业相关工作经验，熟悉幕墙门窗
加工图纸及数控编程;熟练使用MasterCam，Mill9.1软件。责任心强，执行能力强;工
作认真、有耐心，有良好的沟通能力及较强的协调能力;综合收入7000-9000元。                     工作时间及待遇:
1、工作时间:正班21.75天(按劳动法)+加班。
2、工资计算:底薪+加班费+绩效+全勤奖，购买社保。
3、公司免费提供吃、住(早中晚三餐)，宿舍3~6人间配备热水/空调、
Wi-Fi。
4、节日福利、聚餐、团建、礼品等。"
仓管,广东巨农生物科技有限公司,50-99人,广东省惠州市博罗县,中等专科,无工作经验要求,面议,136****9545,博罗县麻陂镇大马路80号,全职,"
1、长白班，工资5-7K；
2、需要会开叉车，有叉车证；
3、做过仓管工作优先，负责仓库出入库管理、库存盘点等。

公司福利：五险一金、包吃，外地提供住宿补贴、每月10号准时发工资
"
