评论ID,用户昵称,信用等级,用户星级,评论内容,评论日期,创建时间,时间间隔,机身颜色,网络类型,版本类型,套餐类型,存储容量,点赞数,评论数,阅读数,图片数量,是否回头客
1284684257912,天**质,11,9,非常不错，很流畅，不卡顿，刷视频也很方便,2025年9月26日,9月26日,3天前,黑旋风 【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,0,1,129,2,是
1284620079018,雅**8,12,10,过些天就带回去给奶奶用了， 目前试用没什么问题,2025年9月25日,9月25日,4天前,乳白色【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,1,1,266,4,否
1284676280421,世**7,11,9,非常流畅不卡顿，值得购买,2025年9月26日,9月26日,3天前,黑旋风 【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,0,1,255,2,是
1284492201951,匿名买家,9,7,物流很快，手机特漂亮.反应好快，一点也不输一千多的手机.拿到手首先下载了王者荣耀，运行的很流畅.这次购物跟满意,2025年9月24日,9月24日,5天前,乳白色【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,0,0,259,2,否
1284756354169,冬**2,10,8,使用了一下，挺满意的，颜值很高，功能也不错，待机时间挺长的，拍照也很清晰，不错,2025年9月26日,9月26日,3天前,黑旋风 【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,0,0,322,3,否
1284492233237,匿名买家,9,7,物流很快，手机外观精美，不卡顿，打游戏贼快，很喜欢，客服很好,2025年9月24日,9月24日,5天前,紫罗兰【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,0,0,246,2,否
1284492201950,匿名买家,9,7,手机的信号很好，配件是挺齐全的，价格很实惠，性价比很高,2025年9月24日,9月24日,5天前,宝石蓝【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,0,0,287,2,否
1284492201949,匿名买家,9,7,今天中午就到了神速，给老爸的生日礼物，爸爸非常满意，感觉非常不错，外形美观，手感舒服，系统流畅，画面清晰，屏幕很大，色彩更加柔和 辨识度高 拍照特别真实清晰 设计非常好，无论从颜值还是性价比都非常亮眼 简直没有缺点,2025年9月24日,9月24日,5天前,紫罗兰【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,1,0,479,2,否
1284492201952,匿名买家,9,7,手机收到，包装很好快递小哥很给力，画质清晰音质清晰，拍照效果很好，运行速度快使用流畅，非常满意。,2025年9月24日,9月24日,5天前,黑旋风 【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,0,0,251,1,否
1284551985044,一**雅,13,11,手机包装完好无破损，物流也很快，手机外观非常漂亮，款式也非常好看，质量很好，正品，做工精致，屏幕细腻够大很清晰，色彩饱和度不错，照相不错，音质也很棒，系统功能强大，运行速度也很快， 性价比蛮高的，而且价格也很实惠便宜，很划算，支持，超喜欢。,2025年9月25日,9月25日,4天前,乳白色【i16 PRO MAX免费试用-质保5年】,5G全网通,中国大陆,套餐六[蓝牙耳機],16GB+1024GB,0,0,300,5,否
