page,time_in_video,mode,font_size,color,send_time,danmu_pool,user_hash,danmu_id,content
1,244.939,1,25,16777215,1643280482,0,94e80894,974666340979875840,从零开始的诈骗生活
1,326.219,5,25,16646914,1643203324,0,6877cba9,974019094688759808,《我不是黑客》
1,278.367,5,25,15138834,1643266678,0,f95f6b80,974550549089558528,《不  再  是  个  人》
1,250.259,5,25,15138834,1643285865,0,5fe60375,974711504480739328,诈骗从入门到大师
1,2.579,5,25,15138834,1643193815,0,adea82da,973939327986589696,@  波  桑  诈  骗  世  界
1,63.27,5,25,16646914,1643191715,0,d12eeef0,973921716654956544,奇怪的语言增加了
1,44.774,5,25,16646914,1643191681,0,d12eeef0,973921426610651136,《老   兄》
1,332.099,5,25,16707842,1643241080,0,efc2258,974335816753971200,无痕模式没用的，最多起一个心理安慰
1,81.504,5,25,15138834,1643193849,0,a0a45393,973939615312347136,《亿些》
1,88.418,5,25,16776960,1643436753,0,febb7fb9,975977238503514112,《 我 不 是 黑 客 》
1,94.765,5,25,16646914,1643199420,0,eb001de6,973986343909507072,线下生擒【doge】
1,116.788,5,25,16707842,1643219290,0,f2b1ce6,974153027425107968,长沙大圆圈之父(bushi
1,199.219,5,25,15138834,1643575542,0,75da7466,977141484957245440,一般第二个人也是本人，群主账号随时会封需要一个备用
1,126.924,5,25,16707842,1643203810,0,f201d1df,974023176960409600,好家伙，还以为找饿了去吃烧烤
1,166.161,5,25,15138834,1643192427,0,c985fc7a,973927682450513920,《covid》
1,299.687,5,25,9033215,1643276008,0,22445f40,974628813278822400,小心有人给你转账0.01元（doge）
1,261.956,5,25,15138834,1644150888,0,392b827a,981967841859330048,这里注意：开头已经说过了名字是虚构的
1,72.447,5,25,15138834,1643623575,0,a81b4b57,977544418246025216,买小号可以有效防止开盒，做到挡刀的效果
1,254.617,5,25,15138834,1643604350,0,72c69c68,977383147494670336,诈骗从入门到入狱
1,27.243,1,25,16777215,1643591524,0,bdb0b03f,977275556110671872,遇到了，然后盗了Ta的号
1,392.087,5,25,15138834,1643249577,0,5533927f,974407091433742336,撞库是拿已经知道的密码去试同一个人的其他账号，这个是暴力破解
1,231.382,5,25,16707842,1643194194,0,eea2f52f,973942512593223680,《知乎》
1,435.39,5,25,16755202,1643192194,0,d12eeef0,973925730041290752,《牛逼》
1,132.859,1,25,16777215,1643360953,0,6c18e21,975341388271345664,B站是最大的副业基地.dog
1,41.787,1,25,16707842,1643288022,0,49d90201,974729594015825920,《有何指教》
1,215.42,5,25,15138834,1643257690,0,ab27ba6b,974475147620614144,《买与卖》
1,18.819,5,25,15138834,1643226693,0,5909f817,974215131562008576,遇到过，但是没被骗，还把对面玩儿了
1,291.133,1,25,16777215,1643264953,0,fe76a1,974536080867246080,卧槽 还真有叫付岩杰的
1,327.784,5,25,16707842,1643202744,0,ba78d770,974014230218842112,这就提现了无痕模式的重要性了(dogo)
1,282.204,5,25,16776960,1643258600,0,ad5d9ed5,974482787475718144,笑yue了，哈哈哈哈哈哈哈哈哈，洗洗更健康
1,224.914,1,25,16777215,1643208891,0,404d6a6b,974065792852828160,好了，信息全了
1,91.46,5,25,15138834,1643193881,0,a0a45393,973939883546951680,这不就巧了吗（doge）
1,293.282,1,25,16777215,1643544502,0,f3d3c71e,976881107197624320,《付   岩  杰》
1,82.173,5,25,16707842,1643357052,0,92e35a95,975308660469702656,《一不小心》
1,339.139,1,25,16777215,1643596878,0,d69a1aae,977320470013427712,无痕浏览只是图一乐
1,266.686,5,25,38979,1643191882,0,379ed4e6,973923113071345664,这名字这么健康（doge）
1,189.9,5,25,16646914,1644301543,0,d0530616,983231624591785984,这头像和我一样！！！
1,250.356,1,25,6830715,1643283841,0,4346496d,974694526127407104,理论基础，全概率公式[doge]
1,242.762,1,25,16777215,1643199462,0,2988d8af,973986698680008704,（纯属小白）
1,93.623,5,25,16776960,1668503793,0,e13b5905,1186254816893213696,线  下  单  杀
1,49.296,5,25,15138834,1643374212,0,7ac195f5,975452611750617088,坡子街派出所欢迎大家
1,73.021,5,25,15138834,1643280140,0,4355e7a0,974663473582505984,打游戏的
1,98.613,5,25,15138834,1643262065,0,cbf2c68f,974511853418250240,大数据给你推送身边的人（doge
1,332.109,5,25,16646914,1643200043,0,eb001de6,973991574224748544,厉害《有何指教》
1,133.267,1,25,16777215,1644070264,0,8ba76a0b,981291518153990144,感觉好危险
1,205.332,5,25,15138834,1643862698,0,ec5d0238,979550322506424320,你这样的白帽子应该被国家保护才对
1,11.295,1,25,16777215,1643254233,0,530fd065,974446149848137728,不敢催更系列
1,384.249,1,25,16777215,1643221991,0,6b276443,974175687631609856,不是撞库，就是试密码
1,262.778,1,25,16777215,1644038128,0,3b5a23a8,981021939583074304,妇yan洁哈哈哈哈哈哈
1,413.364,5,25,15138834,1643386893,0,db6866ea,975558984926797824,现在也有很多网吧盗号的，兄弟们记得注意
1,402.382,1,25,16777215,1643251236,0,ae121995,974421007953854464,懂了，挖矿！
1,239.858,1,25,16777215,1643236200,0,86e5a9cb,974294878599946240,哈哈，笨蛋
1,330.031,5,25,16646914,1645589861,0,3fbce06d,994038820575232000,《老兄有何指教》
1,516.257,1,25,16707842,1643947212,0,b1ec7987,980259282124021760,这就是为什么一抓抓一窝的原因。
1,384.731,5,25,15138834,1643695653,0,1252a01c,978149051083800576,完了我有个号123456abc
1,425.53,5,25,15138834,1645161031,0,f1d07b16,990441530102816768,还好我没钱（
1,260.921,5,25,15138834,1643268025,0,f8ed44bc,974561852002844672,妇   炎   洁
1,315.597,1,25,16777215,1644139515,0,65ad9457,981872437586231296,从零开始的诈骗生活
